LotDescription,Parent#,Revenue,ParentID,LotID
SP20GK - Green/Khaki Woven Shirts,B004IDK1QS,117.03,4,891
SP20GK - Green/Khaki Woven Shirts,B007GBW07W,92.32,173,891
SP20GK - Green/Khaki Woven Shirts,B007GBVYJC,83.22,172,891
SP20 - Blue/Charcoal Uniforms Tops,B00O9736UG,1858.8799999999999,573,883
SP20 - Blue/Charcoal Uniforms Tops,B00O9733Y0,586.22,569,883
SP20 - Blue/Charcoal Uniforms Tops,B007GBVO9W,176.98,166,883
SP20 - Blue/Charcoal Uniforms Tops,B007GBVJ2O,117.13,162,883
SP20 - Blue/Charcoal Uniforms Tops,B007GBVMUS,82.88,164,883
SP20 - Blue/Charcoal Uniforms Tops,B007GBVJEC,41.37,163,883
SP20 - Blue/Charcoal Uniforms Tops,B007GBVNIY,29.75,165,883
SP20 - Khaki/black Check Uniforms Tops,B00O9736UG,1247.21,573,886
SP20 - Khaki/black Check Uniforms Tops,B00O9733Y0,306.65,569,886
SP20 - Khaki/black Check Uniforms Tops,B0167H5P68,413.45,665,886
SP20 - Khaki/black Check Uniforms Tops,B007GBWO82,183.03,183,886
SP20 - Khaki/black Check Uniforms Tops,B007GBWMJS,8.07,182,886
SP20 - White/green Stripe Woven Shirts,B00O9736UG,1231.7900000000002,573,889
SP20 - White/green Stripe Woven Shirts,B007GBW1V2,121.75,175,889
SP20 - White/green Stripe Woven Shirts,B007GBW338,64.6,177,889
SP20 - White/green Stripe Woven Shirts,B007GBW0VS,29.0,174,889
SP20 - White/green Stripe Woven Shirts,B007GBW74S,26.71,179,889
PT2C - Black Pants,B00O4UZ19W,4910.179999999999,408,507
PT2C - Black Pants,B00DUDRBJW,407.75,292,507
PT2C - Charcoal Pants,B00O4UZ19W,4719.86,408,508
PT2C - Charcoal Pants,B00DUDNOE8,10.58,289,508
PT2C - Navy Pants,B00O4UZ19W,4642.9800000000005,408,510
PT2C - Khaki Pants,B00O4UZ19W,3391.7,408,509
CLB2NV RG 56 - Navy Flame Resistant Bottoms,B00JIL6S58,4845.95,388,241
CLB2RB RG 52 - Royal Blue Flame Resistant Bottoms,B00JIL6S58,1686.6799999999998,388,242
CLB2KH RG 46 - Khaki Flame Resistant Bottoms,B00JIL6S58,1003.0899999999999,388,240
SP14 - Light Grey With Trim Woven Shirts,B00O9731VA,4575.849999999999,568,853
SP14 - Navy With Orange Visibility Trim Woven Shirts,B00O9731VA,3922.7200000000003,568,857
SP14 - Navy With Orange Visibility Trim Woven Shirts,B00DUDQKF8,376.1,291,857
SP14 - Navy With Orange Visibility Trim Woven Shirts,B00DUDQI3M,112.35,290,857
CD32 - Brown Duck Coveralls,B00O971BTO,4574.719999999999,480,224
CD32 - Navy Duck Coveralls,B00O971BTO,4092.53,480,225
QT20 - Charcoal Flame Resistant Tops,B01C4C3274,4565.65,700,598
QT20 - Charcoal Flame Resistant Tops,B01C4C323I,1058.1,698,598
QT20BT - Dark Blue Flame Resistant Tops,B01C4C3274,3121.92,700,599
QT20BT - Dark Blue Flame Resistant Tops,B01C4C323I,610.86,698,599
QT20 - Black Flame Resistant Tops,B01C4C3274,2527.3999999999996,700,596
QT20 - Black Flame Resistant Tops,B01C4C323I,802.22,698,596
QT20BT - Tan Flame Resistant Tops,B01C4C3274,1840.24,700,601
QT20BT - Tan Flame Resistant Tops,B01C4C323I,538.86,698,601
QT20BT - Red Flame Resistant Tops,B01C4C3274,1464.3899999999999,700,600
QT20BT - Red Flame Resistant Tops,B01C4C323I,517.42,698,600
QT20 - Blue Flame Resistant Tops,B01C4C3274,1294.15,700,597
QT20 - Blue Flame Resistant Tops,B01C4C323I,392.62,698,597
JT50 - Navy Outerwear,B00O971RHU,4532.070000000001,500,343
JT50 - Black Outerwear,B00O971RHU,4096.35,500,340
JT50 - Charcoal Outerwear,B00O971RHU,2674.46,500,342
JT50 - Spruce Green Outerwear,B00O971RHU,2015.32,500,345
JT50 - Brown Outerwear,B00O971RHU,1772.87,500,341
SET8GY SS L - Grey Flame Resistant Tops,B00HUA6AHA,4515.52,355,672
SET8GY SS L - Grey Flame Resistant Tops,B00VGA6L4C,292.83,663,672
SET8NV SS 4XL - Navy Flame Resistant Tops,B00HUA6AHA,3975.06,355,673
KT50 - White Outerwear,B00O972KB2,4492.96,539,390
SNS2TN RG S - Tan Flame Resistant Tops,B00HUA7KRO,4449.42,363,817
SNS2RB RG 3XL - Royal Blue Flame Resistant Tops,B00HUA7KRO,3073.12,363,816
4004 - White Outerwear,B00O97236E,4447.65,513,144
2030 - Black/White Check Uniforms Bottoms,B00O7PBMC4,4379.63,430,142
SK92 - Black Knit Tops,B019XDXNT4,4289.93,684,765
SK92 - Black Knit Tops,B019XDXQUU,734.64,685,765
SK92 - Royal Blue Knit Tops,B019XDXNT4,3014.7799999999997,684,770
SK92 - Royal Blue Knit Tops,B019XDXQUU,146.93,685,770
SK92 - Royal Blue Knit Tops,B016NEKYE8,115.39,666,770
SK92 - Navy Knit Tops,B019XDXNT4,2528.38,684,768
SK92 - Navy Knit Tops,B019XDXQUU,591.6999999999999,685,768
SK92 - Grey Knit Tops,B019XDXNT4,1925.28,684,766
SK92 - Grey Knit Tops,B019XDXQUU,420.13,685,766
SK92 - Red Knit Tops,B019XDXNT4,1455.73,684,769
SK92 - Red Knit Tops,B019XDXQUU,170.04999999999998,685,769
SK92 - Medium Blue Knit Tops,B019XDXNT4,924.11,684,767
SK92 - Medium Blue Knit Tops,B019XDXQUU,295.25,685,767
SK92 - Tan Knit Tops,B019XDXNT4,784.6,684,771
SK92 - Tan Knit Tops,B019XDXQUU,254.23999999999998,685,771
SK92 - White Knit Tops,B019XDXNT4,572.67,684,772
SK92 - White Knit Tops,B019XDXQUU,175.03,685,772
SP24 - Navy With Orange Visibility Trim Woven Shirts,B00O97394O,4264.6900000000005,578,916
SP24 - Navy With Orange Visibility Trim Woven Shirts,B01ESJ8AVE,262.95,722,916
SP24 - Navy With Orange Visibility Trim Woven Shirts,B00DUDRP66,242.27,293,916
SP24 - Light Grey With Trim Woven Shirts,B00O97394O,3685.8599999999997,578,912
SP24 - Light Grey With Trim Woven Shirts,B007GBY0HU,586.32,199,912
SP24 - Light Grey With Trim Woven Shirts,B007GBXWDI,347.94,198,912
SEU2WB LN XXL - White/Blue Stripe Flame Resistant Tops,B00JIJHX7C,4200.58,381,674
JP70 - Black Outerwear,B00O971MJI,4184.53,495,327
JP70 - Navy Outerwear,B00O971MJI,2130.7799999999997,495,328
CMD6NV LN 52 - Navy Flame Resistant Bottoms,B00HUA2S4E,4156.57,320,255
CMD6KH LN 58 - Khaki Flame Resistant Bottoms,B00HUA2S4E,1280.75,320,254
JNJ8NV RG 3XL - Navy Flame Resistant Outerwear,B00HUA3ZEG,4119.04,333,322
SET2GY RG 4XL - Grey Flame Resistant Tops,B00HRFV19U,4108.22,309,671
5010 - White Uniforms Tops,B00O7PC2LO,4083.26,453,164
CT10 - Navy With Yellow/Green Visibility Trim Coveralls,B00O971E2S,4032.12,486,275
SP56BT - Khaki Uniforms Tops,B01AFSIDEG,4016.06,687,955
SP56BT - Khaki Uniforms Tops,B01AFSIDKA,22.99,688,955
SP56BT - Medium Blue Uniforms Tops,B01AFSIDEG,1948.02,687,956
SP56BT - Medium Blue Uniforms Tops,B01AFSIDKA,31.58,688,956
SP56 - White Uniforms Tops,B01AFSIDEG,1017.79,687,954
SP56 - White Uniforms Tops,B01AFSIDKA,115.72,688,954
SP56BT - Navy Uniforms Tops,B01AFSIDEG,878.0999999999999,687,957
5080 - White Outerwear,B00O972698,3952.83,519,173
5080 - Light Blue Outerwear,B00O972698,2329.05,519,172
JLR8NV LN XXL - Navy Flame Resistant Outerwear,B00HUA3XXO,3951.5,332,320
WP90 - Khaki Shorts,B00O4VXX46,3869.1099999999997,422,1122
WP90 - Black Shorts,B00O4VXX46,3203.1899999999996,422,1120
WP90 - Navy Shorts,B00O4VXX46,2479.19,422,1123
WP90 - Charcoal Shorts,B00O4VXX46,1700.45,422,1121
SND2TN LN L - Tan Flame Resistant Tops,B00HUA7HHC,3859.14,362,815
SND2NV RG XXL - Navy Flame Resistant Tops,B00HUA7HHC,3533.54,362,813
SND2RB RG XXL - Royal Blue Flame Resistant Tops,B00HUA7HHC,2271.81,362,814
SND2GB RG XXL - Gulf Blue Flame Resistant Tops,B00HUA7HHC,2194.65,362,812
CEH2NV LN XXL - Navy Flame Resistant Bottoms,B00HUA1V7O,3574.16,316,237
JT50 - Navy With Yellow/Green Visibility Trim Outerwear,B00O971TOQ,3521.62,501,344
SC30 - Dark Navy Woven Shirts,B00O972MCO,3493.95,541,630
PC76 - Khaki Pants,B00O4UYND2,3437.38,392,425
PC76 - Navy Pants,B00O4UYND2,3391.2999999999997,392,426
PT38 - Black Pants,B00O4UZ1DS,3426.04,410,519
PT38 - Khaki Pants,B00O4UZ1DS,1833.9399999999998,410,521
PT38 - Khaki Pants,B00DUDNFJW,38.79,288,521
PT38 - Navy Pants,B00O4UZ1DS,1729.6100000000001,410,522
PT38 - Charcoal Pants,B00O4UZ1DS,1531.1600000000003,410,520
SMT4NV RG 4XL - Navy Flame Resistant Tops,B00HRFV96A,3383.1,310,802
SEG6KH LN XXL - Khaki Flame Resistant Tops,B00HUA5ZYE,3329.0,352,660
SEG6LB RG 3XL - Light Blue Flame Resistant Tops,B00HUA5ZYE,1557.5100000000002,352,661
CNB3NV RG S - Navy Flame Resistant Bottoms,B00JFO0J2G,3297.3900000000003,366,259
PT21 - Black Industrial,B00SBHMIEA,3280.139999999999,639,490
PT21P - Khaki Industrial,B00SBHMIEA,2414.51,639,492
PT21P - Navy Industrial,B00SBHMIEA,2241.42,639,493
PT21P - Charcoal Industrial,B00SBHMIEA,1681.5500000000002,639,491
SLW2NV RG S - Navy Flame Resistant Tops,B00HUA71GE,3271.71,359,799
SLW2KH LN L - Khaki Flame Resistant Tops,B00HUA71GE,3205.81,359,797
SLW2LB LN XL - Light Blue Flame Resistant Tops,B00HUA71GE,1648.37,359,798
PT26 - Navy Shorts,B00O4UYXNW,3197.76,406,497
PT26 - Charcoal Shorts,B00O4UYXNW,2812.52,406,496
PT26 - Black Shorts,B00O4UYXNW,2532.96,406,494
PT26 - Brown Shorts,B00O4UYXNW,1686.54,406,495
PT26 - Spruce Green Shorts,B00O4UYXNW,1471.2600000000002,406,498
PT26 - Tan Shorts,B00O4UYXNW,1018.07,406,499
PT62 - Black Uniforms Bottoms,B00O4UZCWI,3177.5299999999997,419,561
PT62 - Charcoal Uniforms Bottoms,B00O4UZCWI,2436.66,419,562
PT62 - Navy Uniforms Bottoms,B00O4UZCWI,1681.6200000000001,419,564
PT62 - Khaki Uniforms Bottoms,B00O4UZCWI,1573.8099999999995,419,563
PT60 - Charcoal Pants,B005HV54Q2,3142.25,96,550
PT60 - Charcoal Pants,B00O4UZ55C,1451.22,415,550
PT60 - Navy Pants,B005HV54Q2,3118.78,96,552
PT60 - Navy Pants,B00O4UZ55C,1299.59,415,552
PT60 - Navy Pants,B005HV50HK,905.72,88,552
PT60 - Navy Pants,B005HV5110,741.21,89,552
PT60 - Navy Pants,B005HV52QY,610.28,90,552
PT60 - Navy Pants,B005HV503O,503.43,87,552
PT60 - Navy Pants,B005HV5354,388.42,92,552
